,user_name,screen_name,description,user_location,text,language,hashtags,media_url,source,date,time
10,Maritime Law Firm,tunisianlawfirm,"Achour Law Firm is a Tunisian Admiralty & Maritime law firm in Tunisia represent international clients in all areas of maritime law, Ship arrest; ..",Tunisia,Zero-emission hydrofoil containership unveiled https://t.co/IbTct0b5d7 https://t.co/zj16178UtF,fr,,https://pbs.twimg.com/media/FMr5O_hUcAMkviF.jpg,dlvr.it,2022-02-28,13:08:04
11,Maritime,MaritimeApp,We tweet important news for busy maritime professionals. Blog by MAX Groups Marine. #maritime #marine #supplychain #shipbuilding #ship,,Zero-emission hydrofoil containership unveiled https://t.co/Y4bFUAjiAA https://t.co/sX83uu18Eo,fr,,https://pbs.twimg.com/media/FMrsqopUUAIizYX.jpg,dlvr.it,2022-02-28,12:13:09
12,TheEazyCadet,EazyCadet,'The Eazy Cadet' is an online resource centre for all Merchant Navy Deck Officers and Cadets looking to enhance their skills and knowledge. #LinkedIn,"England, United Kingdom",Zero-emission hydrofoil containership unveiled https://t.co/8wurE4ZIjo https://t.co/2HCQCc3KCF,fr,,https://pbs.twimg.com/media/FMrViFPVkAIgXvK.jpg,dlvr.it,2022-02-28,10:32:05
13,Bill Smith,Bill3294,,,"@NavyLookout @COM_SNMG1 @dcullen_photo I watched them out from the Dundee side, was a fine sight. https://t.co/PHlQEZ36qT",en,,https://pbs.twimg.com/media/FNRnqa1XMAEvT9f.jpg,Twitter Web App,2022-03-07,20:57:01
14,Jonathan,JonoCC,,"Dundee, Scotland",@NavyLookout @UKDefJournal @geoallison https://t.co/v1n4PrWoEQ,und,,https://pbs.twimg.com/ext_tw_video_thumb/1500930781996277763/pu/img/bF4agFOrFnaLUXSi.jpg,Twitter Web App,2022-03-07,20:26:30
15,Jonathan,JonoCC,,"Dundee, Scotland",@NavyLookout @UKDefJournal @geoallison https://t.co/TyqWcmqkuq,und,,https://pbs.twimg.com/ext_tw_video_thumb/1500930436637278209/pu/img/L68KTBtu3quQJ5xM.jpg,Twitter Web App,2022-03-07,20:25:15
16,TomLeachPhotography,TomLeachPhotos,"18 Year old Photographer.

Liverpool and Gloucester fan",,@HMSLANCASTER inbound to a cold and windy @HMNBDevonport this evening after a day of @FOST. @RoyalNavy @NavyLookout https://t.co/R9Gk8EtKP3,en,,https://pbs.twimg.com/media/FNRAtc2XMAIS-0Z.jpg,Twitter for Android,2022-03-07,18:07:50
17,Chris C 🇬🇧,scottyc298,Focus on 🇬🇧 Navy and covers all branches inc 🇺🇸🇦🇺🇨🇦 NATO etc. RT ≠ Endorsement. Occasional ✈️ 🚁 📸 Linktree below for links to good FB groups 👇,"Fareham, England",@HMSQNLZ and @HMS_Richmond. @RNPics_ @SouthCoastPhot4 @AmzJS13 @georgeemmett8 @NavyLookout https://t.co/DWaHhwpZcT,und,,https://pbs.twimg.com/media/FNQ8wc3XIAIgkgC.jpg,Twitter for iPhone,2022-03-07,17:49:25
18,RNPics_ 🇺🇦,RNPics_,- Royal Navy Inspired Photographer. - 📍Portsmouth Based 🇬🇧 - Occasional Other Tweets,HMNB Portsmouth ,@NavyLookout @HMS_Richmond @scottyc298 My angle! https://t.co/TtYrifO6xp,en,,https://pbs.twimg.com/media/FNQ4gcCXEAMOzVm.jpg,Twitter for iPhone,2022-03-07,17:30:51
19,Kevin Kelway,Rockhoppas,"Media Director, Charity Trustee, International PR Specialist, Journalist, Silver/Bronze awards from MOD's (ERS), Devon Biz Champion, SMK Community Award winner.","Plymouth, England",@hms_lancaster inbound this evening @NavyLookout #EsplanadeLife https://t.co/moGXXJqgPc,en,EsplanadeLife,https://pbs.twimg.com/media/FNQxrypX0AkUuBI.jpg,Twitter Web App,2022-03-07,17:02:07
20,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMS_Richmond sails from Portsmouth to join exercise #ColdResponse22 this afternoon 

Via @scottyc298 https://t.co/oCLAoIRi4Z",en,ColdResponse22,https://pbs.twimg.com/media/FNQx05-XsAMV3B0.jpg,TweetDeck,2022-03-07,17:01:49
21,margaret bishton,margeanjack,,United Kingdom,@NavyLookout @HMSPWLS @WatkinNeil Safe passage to all your ships crew https://t.co/Sovyxb0LTB,en,,https://pbs.twimg.com/media/FNP9kYCWQAAFFR_.jpg,Twitter for iPhone,2022-03-07,13:13:21
22,Rz02,Ijal2311,,"Torino, Piemonte",@Itz_Puggers @KevinBe59227614 @NavyLookout https://t.co/5vm4lHEHyC,und,,https://pbs.twimg.com/media/FNPgkdWVIAEhGXn.jpg,Twitter for iPhone,2022-03-07,11:06:39
23,Rz02,Ijal2311,,"Torino, Piemonte",@Itz_Puggers @KevinBe59227614 @NavyLookout https://t.co/gaT0JcNLvx,und,,https://pbs.twimg.com/media/FNPgcDBVgAIO1za.jpg,Twitter for iPhone,2022-03-07,11:06:05
24,Rz02,Ijal2311,,"Torino, Piemonte",@Itz_Puggers @KevinBe59227614 @NavyLookout https://t.co/k5FAZTPkYR,und,,https://pbs.twimg.com/media/FNPe5ErUUAAnGvK.jpg,Twitter for iPhone,2022-03-07,10:59:20
25,Zirr,ItsAzirr,The North | The Middle East | contrasts Ice & heat. Based at both locations| history | pics that stand out | words,Middle East/Europe North,@GDCDAN23 @NavyLookout @HMSPWLS @WatkinNeil Russia declined the invitation this time (to observe) https://t.co/VeTc5WZ0Rg,en,,https://pbs.twimg.com/media/FNPTDfaXIAU0-dW.jpg,Twitter Web App,2022-03-07,10:08:42
26,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSLANCASTER outbound from Devonport this morning.

Via: @Rockhoppas https://t.co/6UPtpzLt6t",en,,https://pbs.twimg.com/media/FNPJzaHXEAYUzCU.jpg,TweetDeck,2022-03-07,09:27:13
27,Kevin Kelway,Rockhoppas,"Media Director, Charity Trustee, International PR Specialist, Journalist, Silver/Bronze awards from MOD's (ERS), Devon Biz Champion, SMK Community Award winner.","Plymouth, England",@hms_lancaster outbound this morning @NavyLookout  #EsplanadeLife https://t.co/AyjmsrrmVA,en,EsplanadeLife,https://pbs.twimg.com/media/FNPHhp7XMAMfNAo.jpg,Twitter Web App,2022-03-07,09:18:00
28,Puggers,Itz_Puggers,yis,,@dbagdextrash @MarkBeresford11 @NavyLookout @HMSPWLS @WatkinNeil https://t.co/DVAz56jDjl,und,,https://pbs.twimg.com/media/FNPCBnUWQAcZnR7.jpg,Twitter for Android,2022-03-07,08:53:11
29,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,"🇺🇸USS Roosevelt inbound to Devonport this morning.

via @AllanWarships https://t.co/y31K0baPZK",en,,https://pbs.twimg.com/media/FNO5l3zX0AMS5up.jpg,TweetDeck,2022-03-07,08:16:26
30,Wrightys Warships,AllanWarships,Twitter feed for Wrightys Warship website keeping you informed of photo updates and general information,United Kingdom,#USS #Roosevelt #DDG80 inbound @HMNBDevonport a few moments ago #FOST #Plymouth @NavyLookout @surflant @USNavyEurope https://t.co/Qq2bKeOzmI,en,"USS, Roosevelt, DDG80, FOST, Plymouth",https://pbs.twimg.com/media/FNO37JaXoAA5Nwh.jpg,Twitter for Android,2022-03-07,08:09:05
31,G M,GM60410314,,,@NavyLookout @HMSPWLS @WatkinNeil https://t.co/onwmrori4K,und,,https://pbs.twimg.com/media/FNOzKDKXwAAwC41.jpg,Twitter for iPhone,2022-03-07,07:48:15
32,Ben John,benjohn65,"Marine Scientist - keen on exploration, archaeology, history, biology, oceanography, climate, technology, military, aerospace & mysteries of the universe 🤓 🌎","Fremantle, Western Australia","@NavyLookout Virginia-class submarine - US Navy

https://t.co/sOc9XCp4rV https://t.co/wNMZpxfhgg",en,,https://pbs.twimg.com/media/FNOUBCaUYAE9ld_.jpg,Twitter Web App,2022-03-07,05:32:20
33,Ben John,benjohn65,"Marine Scientist - keen on exploration, archaeology, history, biology, oceanography, climate, technology, military, aerospace & mysteries of the universe 🤓 🌎","Fremantle, Western Australia","@NavyLookout Astute-class submarine - Royal Navy

https://t.co/UYop9CAPVP https://t.co/my4M4qpO44",en,,https://pbs.twimg.com/media/FNOTuvfVIAIXXac.jpg,Twitter Web App,2022-03-07,05:31:26
34,Juan Jose Rojas Garza (@djarsuno),rsunohmsqueenE2,I own the world's best cyber security network. Call 226-580-7390 in Canada to book your appointment and talk to us about your cyber security plan now!,"London, Ontario",@NavyLookout @HMSQNLZ https://t.co/voAadLzP2L,und,,https://pbs.twimg.com/media/FNNPo_wXIAUqR3-.jpg,Twitter for Android,2022-03-07,00:33:26
35,Shipsoftherivermersey,Shipsoftherive1,Bringing you what I can when I can from ships up and down the Mersey all photos by Ian F,"Birkenhead, England",@hms_argyll leaving Liverpool today @NavyLookout @RoyalNavy @LBNdaily @tonymc39 https://t.co/rjv7Gpwls9,en,,https://pbs.twimg.com/media/FNMCsvhWQAMUrIE.jpg,Twitter for iPad,2022-03-06,18:57:18
36,AndyinBrum 🌻,AndyinBrum,Warning may contain gratuitous use of swearwords and other abusive language. it is big and it is clever. Says fuck a fucking lot#TeamKP,,@NavyLookout @UKDefJournal @hmssevern @SheilaLWeir Ooo that camo is rather fine https://t.co/zK04MXh5xL,en,,https://pbs.twimg.com/tweet_video_thumb/FNMB9Y_X0AIp4Ty.jpg,Twitter for iPhone,2022-03-06,18:54:04
37,G M,GM60410314,,,@NavyLookout https://t.co/ccCVBpVMjH,und,,https://pbs.twimg.com/media/FNLaEbGXoAMQcBA.jpg,Twitter for iPhone,2022-03-06,15:59:46
38,Elton John 🇵🇱,EltonDzone,,,@danbrusca @hackingbutlegal @NavyLookout Are you sure his russian? https://t.co/l6diQHcK7K,en,,https://pbs.twimg.com/media/FNLTmuKXsAg5R_m.jpg,Twitter Web App,2022-03-06,15:31:35
39,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,"Stunning view of @hmssevern outbound on the Firth of Clyde in the sunshine today.

Via @SheilaLWeir https://t.co/XdASp4AZeQ",en,,https://pbs.twimg.com/media/FNLObCbXoAQtW0P.jpg,TweetDeck,2022-03-06,15:09:07
40,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@hms_argyll leaving Liverpool today.

Via @CruiseLpool https://t.co/dqqGBpxmLP",en,,https://pbs.twimg.com/media/FNLBwhVWUAAaPXQ.jpg,TweetDeck,2022-03-06,14:13:54
41,Rz02,Ijal2311,,"Torino, Piemonte",@KevinBe59227614 @NavyLookout https://t.co/UiutiFnGWi,und,,https://pbs.twimg.com/media/FNKgC8gUcAYXWNB.jpg,Twitter for iPhone,2022-03-06,11:46:17
42,The Based Briton🇺🇦🇦🇫🇺🇦,The_BasedBriton,"Defence enthusiast, unionist, neoliberal
Love vexillology, history, heraldry and comics especially USM and Invincible
1/2🇮🇳 1/2🏴󠁧󠁢󠁥󠁮󠁧󠁿 100%🇬🇧",United Kingdom 🇬🇧,https://t.co/TwZzMRrxOh https://t.co/GKony7ujsz,und,,https://pbs.twimg.com/tweet_video_thumb/FNKajtkXMAEs_GW.jpg,Twitter for Android,2022-03-06,11:22:17
43,Kevin Bell,KevinBe59227614,,,@NavyLookout https://t.co/2wXUNcIzEc,und,,https://pbs.twimg.com/tweet_video_thumb/FNKT1j-XEAMtBZt.jpg,Twitter Web App,2022-03-06,10:52:55
44,Keith,snotty02,‘By God that’s seamanship’,,https://t.co/xkaAuUY5Pv https://t.co/OJ47KYoJQq,und,,https://pbs.twimg.com/tweet_video_thumb/FNKTK0zXIAI_3S3.jpg,Twitter Web App,2022-03-06,10:50:00
45,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"1号型ミサイル艇/日本/ミサイル艇
旧式化した魚雷艇をミサイル艇に置き換えたい→分かる
折角だし伊から技術買って50ノット以上出せる水中翼船作るべw→は？
作ってみたけど船体強度低すぎて日本海じゃ使えねぇw→早期退役へ　税金返せー！ https://t.co/RVFEASZvxH",ja,,https://pbs.twimg.com/media/D1JeHtYUYAAzlYW.jpg,twittbot.net,2022-03-08,00:11:02
46,💙 Jane 🇺🇦 🕊️🌱,localnotail,"Local. Bit Gonzo
Mostly harmless Library Assistant & Mum.
Don't be a dick on purpose

Vigilantly making notes
""Offended archeologist""
link 👇 to see I'm real","Birmingham, Europe, Earth","Looks like that Russian Warship got served 👍

(🖼️ @richard_littler ) https://t.co/TtyLQ5Pu1K https://t.co/A6k3aiHIhT",en,,https://pbs.twimg.com/media/FNSTR-PXoAgvFbI.jpg,Twitter Web App,2022-03-08,00:08:52
47,хроніки незабаром 🦚🇺🇦,shurioque,"файний хлопець з котом; живу у Вашингтоні, працюю в Піттсбургу, а сиджу в #укртві","Washington, DC","Russian warship, go fuck yourself! https://t.co/b8gKFRDmsZ",en,,https://pbs.twimg.com/media/FNSTjlqWYAQ32KC.jpg,Twitter for iPhone,2022-03-08,00:08:39
48,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"ワスプ/アメリカ/空母
ヨークタウン級建造の際に余った排水量を埋めるために作った空母　アメリカ海軍初の舷側エレベーターを装備した
艦名はスズメバチという意味なのだが、敵を沈める前に伊19号の雷撃で沈んだ
潜水艦には気をつけよう！
https://t.co/casiMS3CYw",ja,,https://pbs.twimg.com/media/Dz2-U8RVAAAKSkb.jpg,twittbot.net,2022-03-07,23:40:56
49,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"天龍型軽巡洋艦/日本/軽巡洋艦
イギリスのアリシューザ級を参考に建造した日本初の軽巡洋艦　世界最初の30ノット超えを記録した巡洋艦でもある
小さめに作ったから雷装に比べ砲撃力が貧弱すぎるだろ・・・と評価されたので建造は2隻で打ち切り
https://t.co/ziAJpsecIY",ja,,https://pbs.twimg.com/media/DDDU-J4UAAAzYM0.jpg,twittbot.net,2022-03-07,23:11:36
50,LinkedIn Baptism Enjoyer,idle_warship,"""Eye flossed a wilt olive,"" eek rides oft lien twisty cop.","Portland, OR",Tell me you have a DUI without telling me you have a DUI https://t.co/VEtbnl0ohw,en,,https://pbs.twimg.com/media/FNSCQmrUUAExdzV.jpg,Twitter for iPhone,2022-03-07,22:53:04
51,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"インコンパラブル/イギリス/巡洋戦艦
またハッシュハッシュクルーザーだ！
50.8サンチ砲とかいうマジキチ主砲を積む予定だったが、35ノットの高速を実現するため装甲は薄かったらしい。
なおユトランド沖海戦　後は分かるな？
https://t.co/n0tDXwjRc2",ja,,https://pbs.twimg.com/media/DSVs5lmUMAA_wMF.jpg,twittbot.net,2022-03-07,22:40:55
52,いくら軍艦🍣,warship_ikura,"リンゼルとゲームとTL会話。呟き多い📣BLは苦手🙅 ヘッダーは遊眞さん(@yu_uma)から🥳
＊無断転載はご遠慮ください。 Please do not reprint without my permission.",回転寿司,う゛れ゛ち゛い゛ https://t.co/Ms8BXolub5,ja,,https://pbs.twimg.com/media/FNR-DyTaMAILs1C.jpg,Twitter for Android,2022-03-07,22:34:44
53,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"モントローズ/イギリス/フリゲート
23型フリゲートの7番艦。
2019年3月から、北朝鮮対策として太平洋に派遣。日本に寄港し話題となった。
艦内の注意書きでアホっ子アピールしているのが特徴。 https://t.co/bBqPJfyvpq",ja,,https://pbs.twimg.com/media/D-UWCwmUcAA7AXU.jpg,twittbot.net,2022-03-07,21:10:59
54,Yeni Şafak English,yenisafakEN,"Official Twitter account of Yeni Şafak English https://t.co/sMlJnbNOky

For Turkish: https://t.co/rh00Rk8QoT",,"Ukraine reportedly neutralizes Russian warship in Black Sea
https://t.co/HMdg7zUJml https://t.co/gRuCBkaDk2",en,,https://pbs.twimg.com/media/FNQT-gZXoAgE4s8.jpg,TweetDeck,2022-03-07,20:59:00
55,The Mirror,DailyMirror,"The official Mirror Twitter account 
(Daily Mirror, Sunday Mirror & Mirror Online)
🗞️ - real news in real time
@MirrorBreaking_ for breaking news 🚨",UK,"Video captures Ukrainian navy opening fire and appears to hit Russian warship
https://t.co/ncuNGHzJf7 https://t.co/gmul6VrFqL",en,,https://pbs.twimg.com/media/FNQhv4OXwAslJk7.jpg,TweetDeck,2022-03-07,20:44:00
56,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"初春型駆逐艦(改装前)/日本/駆逐艦
Q.ロンドン条約に違反しない駆逐艦とは
A.徹底的に軽量化して浮いた重量を武装に回す艦(ガンギマリ)
電気溶接の採用で軽量化&amp;特型並の火力を維持できたが、復元性が死んだので改装するハメになった
https://t.co/yEnfYxDSLf",ja,,https://pbs.twimg.com/media/DcRkKKrVwAAmy5P.jpg,twittbot.net,2022-03-07,20:40:53
57,The Mirror,DailyMirror,"The official Mirror Twitter account 
(Daily Mirror, Sunday Mirror & Mirror Online)
🗞️ - real news in real time
@MirrorBreaking_ for breaking news 🚨",UK,"Video captures Ukrainian navy opening fire and appears to hit Russian warship
https://t.co/ncuNGHzJf7 https://t.co/UTal1tgJsu",en,,https://pbs.twimg.com/media/FNQhqzSXMAMQ-WZ.jpg,TweetDeck,2022-03-07,20:34:00
58,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"フレッチャー級駆逐艦/アメリカ/駆逐艦
チート国らしく建造数175隻を数える駆逐艦。しかも性能が良かったのでサムナー級、ギアリング級のベースにもなり、それも含めると更に増える模様
実は魚雷を10本搭載する脳筋仕様なんだよなぁ…
https://t.co/4YSfnxLWDb",ja,,https://pbs.twimg.com/media/DmcxUoCV4AAAhxp.jpg,twittbot.net,2022-03-07,20:11:02
59,John Reeks,wartsandbrawls,Historian at Bristol University. Early modern religion and politics. I also like farms.,"Bristol, United Kingdom","Feck off, Russian warship https://t.co/FuXikRIa55",en,,https://pbs.twimg.com/tweet_video_thumb/FNRcq_sXoAEs4mC.jpg,Twitter for iPhone,2022-03-07,20:08:52
60,Radio Control Model Vehicles,ModelVehicles,"Radio Control Model Vehicles, Toys and Control Line. Selected Items. Deals. Product Information. Daily Updated. (eBay Links)",,"1:360 Scale 28"" Inch Remote Controlled Warship Battleship Rc Ship 20-25km/h On https://t.co/noCbVZUjeY eBay https://t.co/KxEpqF2Tjp",en,,https://pbs.twimg.com/media/FNRX6kJVcAI5EwE.jpg,dlvr.it,2022-03-07,19:48:04
61,Iam🇵🇸develop🇵🇰live🇨🇦love🇹🇷my net🇦🇫,GlobalHelpdotca,"I am a Consultant Contractor to develop local economies and industries, develop education, healthcare systems..open for proposals at the moment..","British Columbia, Canada",The warship that suffered a direct hit by the Ukrainian army of this type https://t.co/xQV5foc0h0,en,,https://pbs.twimg.com/media/FNRXGMgVQAE3QZy.jpg,Twitter for Android,2022-03-07,19:44:29
62,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"056型コルベット/中国/コルベット
米軍がLCSとかいう対自爆ボート用艦艇作って迷走してるのを尻目に中国が作ったコルベット
革新技術は使ってないがその分手堅い設計にしてあるから評価は高いぞ
そのせいか姉妹艦の数が50隻を超えた模様
https://t.co/KLfktPXiDB",ja,,https://pbs.twimg.com/media/DBClwiFVYAEeWrO.jpg,twittbot.net,2022-03-07,19:40:57
63,The Mirror,DailyMirror,"The official Mirror Twitter account 
(Daily Mirror, Sunday Mirror & Mirror Online)
🗞️ - real news in real time
@MirrorBreaking_ for breaking news 🚨",UK,"Video captures Ukrainian navy opening fire and appears to hit Russian warship
https://t.co/ncuNGHi7Qx https://t.co/U6SWXHANnt",en,,https://pbs.twimg.com/media/FNQhs8KX0AEgGAa.jpg,TweetDeck,2022-03-07,19:37:00
64,JimmyJ 💙💛,jimmyj48125,Just a regular guy from Metro Detroit. Try to share things I think are important.,,@biannagolodryga F You Russian warship! 🇺🇲 https://t.co/KeyIbLSsrR,en,,https://pbs.twimg.com/tweet_video_thumb/FNRRZhpWQAEVEmU.jpg,Twitter for Android,2022-03-07,19:19:37
65,Sarah Greenhalgh,GreenhalghSarah,Europe Correspondent @7NewsAustralia | Email: sgreenhalgh@seven.com.au | Instagram: @sarahgreenhalgh,"London, England","On billboards all over Ukraine.. and on the back of this truck in Poland. 
“Russian warship f*** off” https://t.co/R1v0dS6BR7",en,,https://pbs.twimg.com/media/FNRQZy1X0AE_CVr.jpg,Twitter for iPhone,2022-03-07,19:15:17
66,The Mirror,DailyMirror,"The official Mirror Twitter account 
(Daily Mirror, Sunday Mirror & Mirror Online)
🗞️ - real news in real time
@MirrorBreaking_ for breaking news 🚨",UK,"Video captures Ukrainian navy opening fire and appears to hit Russian warship
https://t.co/ncuNGHzJf7 https://t.co/sWJxr05Yq0",en,,https://pbs.twimg.com/media/FNQhnXWXsAs97Pe.jpg,TweetDeck,2022-03-07,19:10:00
67,Lego - Rare and Vintage Collectibles,collectlegos,"We help collectors and enthusiasts find vintage and collectible Legos.  

Not an official Lego page. 

We may receive a small commission on some links",,LEGO Castle 7048 Troll Warship w/ Instructions. Rare Set Few pieces missing https://t.co/xqbJUnadRf #lego #legofan https://t.co/dnmmdlfhqm,en,"lego, legofan",https://pbs.twimg.com/media/FNRN30SWUAIGOmA.jpg,RSS Ground,2022-03-07,19:04:11
68,Adam Abdullah,tommycats4,📹Gray Zone Journalist study/ business administra☄️ ✋If you want freedom you must fight for it❗️”cat’s lover🐈‍⬛”,"Manchester, England","#Ukraine
Ukrainian army destroys Russian warship in the Black Sea https://t.co/R5OfFXwvWZ",en,Ukraine,https://pbs.twimg.com/media/FNRMarYXMAQYUW1.jpg,Twitter for Android,2022-03-07,18:57:50
69,Bloodline,Bloodli98460013,"🦁 Graphic Artist/Humanitarian
#FreeSyria",,Russian Warship.... https://t.co/KBffGVCbmv,en,,https://pbs.twimg.com/media/FNRL5B4X0AEqWTp.jpg,Twitter for Android,2022-03-07,18:55:32
70,Ampariues :-),ampasmo,Sorprendiéndome de la realidad. Deconstruyendo estereotipos. A la verdad por el debate. Datos gana a opiniones,El mundo ,"@sumlenny ""Russian Warship, go fuck yourself"" 💪🏼💪🏼💪🏼 https://t.co/FABbAoG9iW",en,,https://pbs.twimg.com/media/FNRJ8EiWYAAi7fj.jpg,Twitter for Android,2022-03-07,18:51:45
